title,manufacturer,model,year,condition,functionality,price,currency,location,country,dimensions,weight,electrical,description,seller_name,seller_verified,listing_id,category,detail_url,image_url,last_updated
Wirbelschichttrockner Brabender W6151Plus,Brabender,W6151Plus,1999,neu,voll funktionsfähig,Preisinfo,,"Barcelona, Spanien",Spanien,1990 x 1745 x 2604 mm,,Spannung: 480V 50Hz; Leistung: 15 kW,"Gebrauchte Wirbelschichttrockner Brabender W6151Plus, Hersteller: Brabender, Typ: W6151Plus. Maschine wurde generalüberholt und ist betriebsbereit.",Hansa Industrietechnik,Yes,34051489,Trockner für Lebensmittel,https://www.maschinensucher.de/brabender-w6151plus/i-34051489,https://cdn.machineseeker.com/img/listings/34051489/1.jpg,25.09.2024
Kippkochkessel Firex P-9971-M,Firex,P-9971-M,1997,sehr gut (gebraucht),voll funktionsfähig,Preisinfo,,"Warschau, Polen",Polen,,11542 kg,Spannung: 380V 60Hz; Leistung: 4 kW,Verkauf einer Kippkochkessel Firex P-9971-M vom Hersteller Firex. Das Modell P-9971-M ist bekannt für seine Zuverlässigkeit. Zustand: sehr gut (gebraucht).,Anlagenbau Schneider,No,31668941,Kochkessel,https://www.maschinensucher.de/firex-p-9971-m/i-31668941,https://cdn.machineseeker.com/img/listings/31668941/1.jpg,09.09.2024
Industriemaschine Bosch C-7417XL,Bosch,C-7417XL,2025,gebraucht,nicht geprüft,3.603,EUR,"Köln, Deutschland",Deutschland,2130 x 1728 x 438 mm,,Spannung: 220V 50Hz; Leistung: 1.5 kW,Bosch Typ C-7417XL. Industriemaschine Bosch C-7417XL. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand.,Nordic Machine Trading,No,62697212,Gastronomiemaschinen & -Geräte,https://www.maschinensucher.de/bosch-c-7417xl/i-62697212,https://cdn.machineseeker.com/img/listings/62697212/1.jpg,25.12.2026
Etikettierer Ishida XL-5061-M,Ishida,XL-5061-M,1999,gebraucht,eingeschränkt funktionsfähig,349,EUR,"Bielefeld, Deutschland",Deutschland,1813 x 1242 x 1689 mm,858 kg,,Etikettierer Ishida XL-5061-M - Ishida XL-5061-M. Diese Maschine ist in gebrauchtem Zustand und wurde regelmäßig gewartet. Weitere Bilder auf Anfrage.,Dietrich Industrieanlagen,No,50261274,Verpackungsmaschinen,https://www.maschinensucher.de/ishida-xl-5061-m/i-50261274,https://cdn.machineseeker.com/img/listings/50261274/1.jpg,23.05.2025
Industriemaschine Grundfos W-7586Plus,Grundfos,W-7586Plus,,gebraucht,voll funktionsfähig,1.668,EUR,"Essen, Deutschland",Deutschland,4509 x 1828 x 3473 mm,,,Grundfos Typ W-7586Plus. Industriemaschine Grundfos W-7586Plus. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand.,Anlagen Center Berlin,No,79866711,Pulverherstellung & Verarbeitung,https://www.maschinensucher.de/grundfos-w-7586plus/i-79866711,https://cdn.machineseeker.com/img/listings/79866711/1.jpg,21.04.2026
Mehrkopfwaage Bühler F847-S,Bühler,F847-S,,überholt,funktionsfähig,6.215,EUR,"Dresden, Deutschland",Deutschland,533 x 2881 x 626 mm,627 kg,Spannung: 230V 50Hz; Leistung: 11 kW,Bühler Typ F847-S. Mehrkopfwaage Bühler F847-S. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand. Preis ist VB (Verhandlungsbasis).,Nordic Machine Trading,Yes,48058779,Waagen (Lebensmittel),https://www.maschinensucher.de/bühler-f847-s/i-48058779,https://cdn.machineseeker.com/img/listings/48058779/1.jpg,16.07.2025
Zentrifugaldekanter Krones M-6803i,Krones,M-6803i,2006,sehr gut (gebraucht),funktionsfähig,16.544,EUR,"Bern, Schweiz",Schweiz,,3205 kg,,Krones M-6803i - Zentrifugaldekanter Krones M-6803i. Kategorie: Dekanter. Zustand: sehr gut (gebraucht). Sofort verfügbar ab Lager.,Lebensmitteltechnik Meier,Yes,76297005,Dekanter,https://www.maschinensucher.de/krones-m-6803i/i-76297005,https://cdn.machineseeker.com/img/listings/76297005/1.jpg,18.01.2026
Wirbelschichttrockner Retsch H6980A,Retsch,H6980A,2023,gebraucht,funktionsfähig,79.822,EUR,"Paris, Frankreich",Frankreich,,,Spannung: 480V 60Hz,"Gebrauchte Wirbelschichttrockner Retsch H6980A, Hersteller: Retsch, Typ: H6980A. Maschine wurde generalüberholt und ist betriebsbereit. Transport kann organisiert werden.",Hansa Industrietechnik,No,51227097,Trockner für Lebensmittel,https://www.maschinensucher.de/retsch-h6980a/i-51227097,https://cdn.machineseeker.com/img/listings/51227097/1.jpg,14.04.2025
Membranpumpe Hosokawa W 253,Hosokawa,W 253,2019,gebraucht,voll funktionsfähig,83.681,EUR,"Brüssel, Belgien",Belgien,2111 x 2746 x 2617 mm,101 kg,Spannung: 220V 50Hz,Wir bieten eine Membranpumpe Hosokawa W 253 der Marke Hosokawa (Modell: W 253) an. Zustand: gebraucht. Alle Funktionen geprüft. CE-Kennzeichnung vorhanden.,Technik Bauer AG,No,56309239,Pumpen (Lebensmitteltechnik),https://www.maschinensucher.de/hosokawa-w+253/i-56309239,https://cdn.machineseeker.com/img/listings/56309239/1.jpg,11.06.2025
Produktionsmaschine Hiller M-1085i,Hiller,M-1085i,,gut (gebraucht),eingeschränkt funktionsfähig,4.400,EUR,"Frankfurt am Main, Deutschland",Deutschland,4168 x 214 x 2503 mm,10 kg,Spannung: 220V 50Hz,Hiller M-1085i - Produktionsmaschine Hiller M-1085i. Kategorie: Lagerung & Handhabung. Zustand: gut (gebraucht). Sofort verfügbar ab Lager.,Süd-Maschinen Handel,Yes,62871422,Lagerung & Handhabung,https://www.maschinensucher.de/hiller-m-1085i/i-62871422,https://cdn.machineseeker.com/img/listings/62871422/1.jpg,12.06.2026
Druckfilter Tetra Pak V-6586,Tetra Pak,V-6586,,gebraucht,voll funktionsfähig,6.866,EUR,"Dresden, Deutschland",Deutschland,4129 x 1558 x 1571 mm,88 kg,Spannung: 220V 50Hz; Leistung: 3 kW,Tetra Pak V-6586 - Druckfilter Tetra Pak V-6586. Kategorie: Filter (Lebensmitteltechnik). Zustand: gebraucht. Sofort verfügbar ab Lager.,EuroMachinery BV,Yes,87727394,Filter (Lebensmitteltechnik),https://www.maschinensucher.de/tetra+pak-v-6586/i-87727394,https://cdn.machineseeker.com/img/listings/87727394/1.jpg,10.07.2025
Fertigungsmaschine Ross N 4398i,Ross,N 4398i,1996,gebraucht,voll funktionsfähig,126.746,EUR,"Stockholm, Schweden",Schweden,1701 x 2604 x 3392 mm,,Spannung: 220V 50Hz,Ross Typ N 4398i. Fertigungsmaschine Ross N 4398i. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand. Weitere Bilder auf Anfrage.,EuroMachinery BV,No,5094295,Ölherstellung,https://www.maschinensucher.de/ross-n+4398i/i-5094295,https://cdn.machineseeker.com/img/listings/5094295/1.jpg,23.11.2026
Brötchenpresse Wachtel X 7876-L,Wachtel,X 7876-L,,überholt,voll funktionsfähig,1.689,EUR,"Hamburg, Deutschland",Deutschland,1890 x 673 x 1142 mm,5457 kg,,Zu verkaufen: Brötchenpresse Wachtel X 7876-L (Wachtel X 7876-L). Die Maschine befindet sich in überholtem Zustand. Besichtigung nach Vereinbarung möglich. Ersatzteile verfügbar.,Machinery Europe GmbH,Yes,97337905,Bäckereimaschinen,https://www.maschinensucher.de/wachtel-x+7876-l/i-97337905,https://cdn.machineseeker.com/img/listings/97337905/1.jpg,08.09.2024
Langwirkmaschine Rondo -9150HD,Rondo,-9150HD,2016,sehr gut (gebraucht),voll funktionsfähig,117.000,EUR,"Zürich, Schweiz",Schweiz,422 x 2209 x 3357 mm,22 kg,Spannung: 480V 60Hz; Leistung: 90 kW,Langwirkmaschine Rondo -9150HD von Rondo. Modell -9150HD. Zustand: sehr gut (gebraucht). Maschine ist einsatzbereit und kann sofort geliefert werden. Inbetriebnahme und Schulung möglich.,Bayerische Maschinenhandel,Yes,39197736,Bäckereimaschinen,https://www.maschinensucher.de/rondo--9150hd/i-39197736,https://cdn.machineseeker.com/img/listings/39197736/1.jpg,12.06.2025
Zentrifugaldekanter IKA P4747-M,IKA,P4747-M,2003,gebraucht,eingeschränkt funktionsfähig,29.489,EUR,"Antwerpen, Belgien",Belgien,346 x 2941 x 987 mm,31 kg,Spannung: 220V 50Hz; Leistung: 3 kW,Zu verkaufen: Zentrifugaldekanter IKA P4747-M (IKA P4747-M). Die Maschine befindet sich in gebrauchtem Zustand. Besichtigung nach Vereinbarung möglich. Inbetriebnahme und Schulung möglich.,FoodTech Solutions GmbH,No,45643909,Dekanter,https://www.maschinensucher.de/ika-p4747-m/i-45643909,https://cdn.machineseeker.com/img/listings/45643909/1.jpg,24.04.2026
Verarbeitungsanlage ABB T6667XL,ABB,T6667XL,2011,gut (gebraucht),nicht geprüft,454,EUR,"Düsseldorf, Deutschland",Deutschland,,5129 kg,Spannung: 380V 50Hz; Leistung: 2.2 kW,ABB Typ T6667XL. Verarbeitungsanlage ABB T6667XL. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand.,Techno-Food Systems,No,70292417,Sonstige Lebensmitteltechnik,https://www.maschinensucher.de/abb-t6667xl/i-70292417,https://cdn.machineseeker.com/img/listings/70292417/1.jpg,06.11.2025
Intensivmischer IKA Z 7148,IKA,Z 7148,,gebraucht,voll funktionsfähig,9.197,EUR,"Madrid, Spanien",Spanien,2097 x 210 x 2353 mm,13873 kg,Spannung: 480V 50Hz; Leistung: 75 kW,Intensivmischer IKA Z 7148 - IKA Z 7148. Diese Maschine ist in gebrauchtem Zustand und wurde regelmäßig gewartet. Inklusive Dokumentation und Bedienungsanleitung.,ProcessTech Europe,No,86429216,Mischanlagen,https://www.maschinensucher.de/ika-z+7148/i-86429216,https://cdn.machineseeker.com/img/listings/86429216/1.jpg,18.07.2025
Schneidemaschine Hobart T-8656B,Hobart,T-8656B,2013,sehr gut (gebraucht),eingeschränkt funktionsfähig,11.189,EUR,"Bern, Schweiz",Schweiz,,36 kg,Spannung: 480V 50Hz,Zu verkaufen: Schneidemaschine Hobart T-8656B (Hobart T-8656B). Die Maschine befindet sich in sehr gut (gebraucht)em Zustand. Besichtigung nach Vereinbarung möglich.,EuroMachinery BV,Yes,92792016,Küchentechnik,https://www.maschinensucher.de/hobart-t-8656b/i-92792016,https://cdn.machineseeker.com/img/listings/92792016/1.jpg,19.02.2025
2-Phasen-Dekanter Netzsch S-93XL,Netzsch,S-93XL,2015,gebraucht,funktionsfähig,76.731,EUR,"Dortmund, Deutschland",Deutschland,,,Spannung: 220V 60Hz,2-Phasen-Dekanter Netzsch S-93XL - Netzsch S-93XL. Diese Maschine ist in gebrauchtem Zustand und wurde regelmäßig gewartet. Inklusive Dokumentation und Bedienungsanleitung.,Industriehandel Schmidt,No,75041251,Dekanter,https://www.maschinensucher.de/netzsch-s-93xl/i-75041251,https://cdn.machineseeker.com/img/listings/75041251/1.jpg,06.02.2026
Verarbeitungsanlage Pieralisi X2298,Pieralisi,X2298,2025,neuwertig,eingeschränkt funktionsfähig,105.280,EUR,"Zürich, Schweiz",Schweiz,,2314 kg,Spannung: 380V 50Hz; Leistung: 7.5 kW,Zu verkaufen: Verarbeitungsanlage Pieralisi X2298 (Pieralisi X2298). Die Maschine befindet sich in neuwertigem Zustand. Besichtigung nach Vereinbarung möglich.,FoodMach International,Yes,13001808,Molkereianlagen,https://www.maschinensucher.de/pieralisi-x2298/i-13001808,https://cdn.machineseeker.com/img/listings/13001808/1.jpg,23.01.2026
Clipmaschine Marel C 3664-L,Marel,C 3664-L,1999,gebraucht,voll funktionsfähig,119.463,EUR,"Bologna, Italien",Italien,577 x 2958 x 570 mm,3179 kg,,Marel Typ C 3664-L. Clipmaschine Marel C 3664-L. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand. Transport kann organisiert werden.,TradeMachines International,No,44592005,Fleischverarbeitungsmaschinen,https://www.maschinensucher.de/marel-c+3664-l/i-44592005,https://cdn.machineseeker.com/img/listings/44592005/1.jpg,17.10.2025
Industriemaschine Krones H 5281i,Krones,H 5281i,2023,neu,funktionsfähig,Preisinfo,,"London, United Kingdom",United Kingdom,2047 x 1347 x 3285 mm,4500 kg,Spannung: 380V 50Hz,Wir bieten eine Industriemaschine Krones H 5281i der Marke Krones (Modell: H 5281i) an. Zustand: neu. Alle Funktionen geprüft.,Techno-Food Systems,Yes,3335305,Getreideverarbeitung,https://www.maschinensucher.de/krones-h+5281i/i-3335305,https://cdn.machineseeker.com/img/listings/3335305/1.jpg,12.05.2025
Brötchenpresse Miwe R 3520XL,Miwe,R 3520XL,2002,neu,funktionsfähig,13.927,EUR,"Mailand, Italien",Italien,1466 x 2919 x 2357 mm,2489 kg,,Brötchenpresse Miwe R 3520XL - Miwe R 3520XL. Diese Maschine ist in neuem Zustand und wurde regelmäßig gewartet.,Gebrauchte-Maschinen.de,No,60113575,Bäckereimaschinen,https://www.maschinensucher.de/miwe-r+3520xl/i-60113575,https://cdn.machineseeker.com/img/listings/60113575/1.jpg,11.12.2025
Fertigungsmaschine Tetra Pak L-4768,Tetra Pak,L-4768,2007,sehr gut (gebraucht),voll funktionsfähig,313,EUR,"Berlin, Deutschland",Deutschland,1141 x 742 x 602 mm,70 kg,Spannung: 220V 60Hz; Leistung: 1.5 kW,Zu verkaufen: Fertigungsmaschine Tetra Pak L-4768 (Tetra Pak L-4768). Die Maschine befindet sich in sehr gut (gebraucht)em Zustand. Besichtigung nach Vereinbarung möglich.,Alpine Technik AG,Yes,51127987,Sonstige Lebensmitteltechnik,https://www.maschinensucher.de/tetra+pak-l-4768/i-51127987,https://cdn.machineseeker.com/img/listings/51127987/1.jpg,15.07.2025
Verarbeitungsanlage ABB T 9083-L,ABB,T 9083-L,2020,überholt,voll funktionsfähig,69.403,EUR,"London, United Kingdom",United Kingdom,,,Spannung: 400V 60Hz; Leistung: 0.55 kW,Verkauf einer Verarbeitungsanlage ABB T 9083-L vom Hersteller ABB. Das Modell T 9083-L ist bekannt für seine Zuverlässigkeit. Zustand: überholt. Inbetriebnahme und Schulung möglich.,Anlagen & Maschinen Fischer,Yes,20435707,Mühlen für Lebensmittel,https://www.maschinensucher.de/abb-t+9083-l/i-20435707,https://cdn.machineseeker.com/img/listings/20435707/1.jpg,07.08.2025
Fertigungsmaschine Amixon S6386,Amixon,S6386,2001,gebraucht,eingeschränkt funktionsfähig,566,EUR,"Lyon, Frankreich",Frankreich,2443 x 2134 x 2573 mm,50 kg,,"Gebrauchte Fertigungsmaschine Amixon S6386, Hersteller: Amixon, Typ: S6386. Maschine wurde generalüberholt und ist betriebsbereit.",ProMach Handels GmbH,Yes,27898370,Räucheranlagen,https://www.maschinensucher.de/amixon-s6386/i-27898370,https://cdn.machineseeker.com/img/listings/27898370/1.jpg,05.08.2025
Desinfektionsanlage Silverson X-6794HD,Silverson,X-6794HD,2024,gut (gebraucht),voll funktionsfähig,2.269,EUR,"Barcelona, Spanien",Spanien,3602 x 2093 x 2438 mm,46 kg,Spannung: 220V 50Hz,Desinfektionsanlage Silverson X-6794HD - Silverson X-6794HD. Diese Maschine ist in gut (gebraucht)em Zustand und wurde regelmäßig gewartet. Maschine kann vor Ort besichtigt werden.,Dietrich Industrieanlagen,Yes,26916044,Reinigungstechnik,https://www.maschinensucher.de/silverson-x-6794hd/i-26916044,https://cdn.machineseeker.com/img/listings/26916044/1.jpg,10.07.2025
Membranfilter Bosch V4848Pro,Bosch,V4848Pro,1998,neuwertig,funktionsfähig,24.030,EUR,"Stuttgart, Deutschland",Deutschland,2537 x 1979 x 1596 mm,3459 kg,Spannung: 220V 50Hz,Bosch Typ V4848Pro. Membranfilter Bosch V4848Pro. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand.,Techno-Food Systems,No,30409483,Filter (Lebensmitteltechnik),https://www.maschinensucher.de/bosch-v4848pro/i-30409483,https://cdn.machineseeker.com/img/listings/30409483/1.jpg,16.02.2024
Pflugscharmischer Lödige V-3C,Lödige,V-3C,1997,gebraucht,nicht geprüft,26.072,EUR,"Antwerpen, Belgien",Belgien,1529 x 1294 x 1585 mm,2830 kg,Spannung: 230V 60Hz,Zu verkaufen: Pflugscharmischer Lödige V-3C (Lödige V-3C). Die Maschine befindet sich in gebrauchtem Zustand. Besichtigung nach Vereinbarung möglich.,IndustriePark Nord,No,30352288,Mischanlagen,https://www.maschinensucher.de/lödige-v-3c/i-30352288,https://cdn.machineseeker.com/img/listings/30352288/1.jpg,01.12.2024
Stikkenofen Bühler V-3246B,Bühler,V-3246B,2025,sehr gut (gebraucht),nicht geprüft,5.841,EUR,"Wien, Österreich",Österreich,2426 x 2372 x 1563 mm,32 kg,Spannung: 380V 50Hz; Leistung: 22 kW,Zu verkaufen: Stikkenofen Bühler V-3246B (Bühler V-3246B). Die Maschine befindet sich in sehr gut (gebraucht)em Zustand. Besichtigung nach Vereinbarung möglich. Ersatzteile verfügbar.,Surplus Select BV,Yes,93644992,Bäckereimaschinen,https://www.maschinensucher.de/bühler-v-3246b/i-93644992,https://cdn.machineseeker.com/img/listings/93644992/1.jpg,24.08.2026
Prozessanlage Retsch N7235i,Retsch,N7235i,,neu,funktionsfähig,19.073,EUR,"Bielefeld, Deutschland",Deutschland,,10800 kg,Spannung: 220V 50Hz; Leistung: 30 kW,Prozessanlage Retsch N7235i von Retsch. Modell N7235i. Zustand: neu. Maschine ist einsatzbereit und kann sofort geliefert werden.,Nordic Machine Trading,No,34781130,Fischverarbeitungsmaschinen,https://www.maschinensucher.de/retsch-n7235i/i-34781130,https://cdn.machineseeker.com/img/listings/34781130/1.jpg,25.11.2025
Mehrkopfwaage Seepex R 237A,Seepex,R 237A,,gut (gebraucht),nicht geprüft,1.852,EUR,"Bielefeld, Deutschland",Deutschland,2331 x 2521 x 980 mm,,Spannung: 400V 50Hz,Verkauf einer Mehrkopfwaage Seepex R 237A vom Hersteller Seepex. Das Modell R 237A ist bekannt für seine Zuverlässigkeit. Zustand: gut (gebraucht).,Machinery Europe GmbH,No,27794226,Waagen (Lebensmittel),https://www.maschinensucher.de/seepex-r+237a/i-27794226,https://cdn.machineseeker.com/img/listings/27794226/1.jpg,07.09.2026
Gefriertunnel Baker Perkins V-1648,Baker Perkins,V-1648,2001,überholt,voll funktionsfähig,2.600,EUR,"Bologna, Italien",Italien,1412 x 735 x 2829 mm,262 kg,Spannung: 480V 60Hz; Leistung: 75 kW,Baker Perkins V-1648 - Gefriertunnel Baker Perkins V-1648. Kategorie: Eismaschinen. Zustand: überholt. Sofort verfügbar ab Lager.,Anlagen & Maschinen Fischer,No,28497810,Eismaschinen,https://www.maschinensucher.de/baker+perkins-v-1648/i-28497810,https://cdn.machineseeker.com/img/listings/28497810/1.jpg,18.12.2025
Produktionsmaschine Fritsch S2072HD,Fritsch,S2072HD,,gut (gebraucht),funktionsfähig,25.450,EUR,"Barcelona, Spanien",Spanien,2760 x 2735 x 1331 mm,24 kg,Spannung: 230V 60Hz; Leistung: 1.5 kW,Wir bieten eine Produktionsmaschine Fritsch S2072HD der Marke Fritsch (Modell: S2072HD) an. Zustand: gut (gebraucht). Alle Funktionen geprüft. Inbetriebnahme und Schulung möglich.,Alpine Technik AG,No,19960278,Pastamaschinen,https://www.maschinensucher.de/fritsch-s2072hd/i-19960278,https://cdn.machineseeker.com/img/listings/19960278/1.jpg,14.09.2025
Prozessanlage Bosch K5263E,Bosch,K5263E,,sehr gut (gebraucht),eingeschränkt funktionsfähig,44.939,EUR,"Graz, Österreich",Österreich,4016 x 2905 x 1882 mm,,Spannung: 220V 50Hz; Leistung: 75 kW,Wir bieten eine Prozessanlage Bosch K5263E der Marke Bosch (Modell: K5263E) an. Zustand: sehr gut (gebraucht). Alle Funktionen geprüft. Preis ist VB (Verhandlungsbasis).,Nordic Machine Trading,No,58405129,Siebanlagen für Lebensmittel,https://www.maschinensucher.de/bosch-k5263e/i-58405129,https://cdn.machineseeker.com/img/listings/58405129/1.jpg,12.02.2024
Separator Elopak Z 8026B,Elopak,Z 8026B,2020,gebraucht,voll funktionsfähig,6.979,EUR,"Paris, Frankreich",Frankreich,,,Spannung: 380V 50Hz; Leistung: 30 kW,Elopak Z 8026B - Separator Elopak Z 8026B. Kategorie: Milch & Milchprodukte. Zustand: gebraucht. Sofort verfügbar ab Lager. CE-Kennzeichnung vorhanden.,Weber Maschinenhandel,Yes,71442847,Milch & Milchprodukte,https://www.maschinensucher.de/elopak-z+8026b/i-71442847,https://cdn.machineseeker.com/img/listings/71442847/1.jpg,22.06.2026
Teigteiler Diosna E3207-L,Diosna,E3207-L,2018,gut (gebraucht),voll funktionsfähig,1.008,EUR,"Bremen, Deutschland",Deutschland,2749 x 1750 x 2593 mm,,Spannung: 380V 60Hz,Teigteiler Diosna E3207-L - Diosna E3207-L. Diese Maschine ist in gut (gebraucht)em Zustand und wurde regelmäßig gewartet. Maschine kann vor Ort besichtigt werden.,Maschinen Müller GmbH,No,45211107,Bäckereimaschinen,https://www.maschinensucher.de/diosna-e3207-l/i-45211107,https://cdn.machineseeker.com/img/listings/45211107/1.jpg,13.08.2025
Prozessanlage Handtmann C 3051A,Handtmann,C 3051A,2015,neuwertig,funktionsfähig,747,EUR,"Zürich, Schweiz",Schweiz,1793 x 1560 x 2866 mm,11177 kg,Spannung: 380V 60Hz; Leistung: 30 kW,Wir bieten eine Prozessanlage Handtmann C 3051A der Marke Handtmann (Modell: C 3051A) an. Zustand: neuwertig. Alle Funktionen geprüft.,Koch Industrietechnik,Yes,30755426,Räucheranlagen,https://www.maschinensucher.de/handtmann-c+3051a/i-30755426,https://cdn.machineseeker.com/img/listings/30755426/1.jpg,03.07.2025
Planetenrührer Baker Perkins A6165i,Baker Perkins,A6165i,,neu,funktionsfähig,40.210,EUR,"Kopenhagen, Dänemark",Dänemark,2634 x 1897 x 799 mm,,Spannung: 230V 50Hz,Planetenrührer Baker Perkins A6165i - Baker Perkins A6165i. Diese Maschine ist in neuem Zustand und wurde regelmäßig gewartet.,Weber Maschinenhandel,No,44541462,Anschlagmaschinen,https://www.maschinensucher.de/baker+perkins-a6165i/i-44541462,https://cdn.machineseeker.com/img/listings/44541462/1.jpg,01.04.2026
Produktionsmaschine Franz Haas E 4848Plus,Franz Haas,E 4848Plus,2000,gebraucht,voll funktionsfähig,85.281,EUR,"Lyon, Frankreich",Frankreich,3198 x 1402 x 547 mm,864 kg,Spannung: 400V 50Hz; Leistung: 18.5 kW,Produktionsmaschine Franz Haas E 4848Plus von Franz Haas. Modell E 4848Plus. Zustand: gebraucht. Maschine ist einsatzbereit und kann sofort geliefert werden.,Lebensmitteltechnik Meier,No,31893893,Sonstige Lebensmitteltechnik,https://www.maschinensucher.de/franz+haas-e+4848plus/i-31893893,https://cdn.machineseeker.com/img/listings/31893893/1.jpg,09.05.2024
Eismaschine Alfa Laval 2747A,Alfa Laval,2747A,2015,überholt,voll funktionsfähig,52.810,EUR,"Frankfurt am Main, Deutschland",Deutschland,419 x 241 x 983 mm,,Spannung: 380V 60Hz,Eismaschine Alfa Laval 2747A von Alfa Laval. Modell 2747A. Zustand: überholt. Maschine ist einsatzbereit und kann sofort geliefert werden.,Surplus Select BV,Yes,24316625,Eismaschinen,https://www.maschinensucher.de/alfa+laval-2747a/i-24316625,https://cdn.machineseeker.com/img/listings/24316625/1.jpg,13.12.2025
Schlauchbeutelmaschine Rovema E-8417-M,Rovema,E-8417-M,,sehr gut (gebraucht),voll funktionsfähig,13.111,EUR,"Brno, Tschechien",Tschechien,4304 x 1513 x 1018 mm,,Spannung: 220V 60Hz; Leistung: 3 kW,"Gebrauchte Schlauchbeutelmaschine Rovema E-8417-M, Hersteller: Rovema, Typ: E-8417-M. Maschine wurde generalüberholt und ist betriebsbereit. Transport kann organisiert werden.",Ost-Technik Vertrieb,Yes,36138619,Verpackungsmaschinen,https://www.maschinensucher.de/rovema-e-8417-m/i-36138619,https://cdn.machineseeker.com/img/listings/36138619/1.jpg,17.07.2026
Fertigungsmaschine ABB L-3996-L,ABB,L-3996-L,2007,gebraucht,funktionsfähig,24.346,EUR,"Stockholm, Schweden",Schweden,,431 kg,Spannung: 380V 60Hz; Leistung: 3 kW,ABB L-3996-L - Fertigungsmaschine ABB L-3996-L. Kategorie: Räucheranlagen. Zustand: gebraucht. Sofort verfügbar ab Lager. Ersatzteile verfügbar.,Industriehandel Schmidt,Yes,28657492,Räucheranlagen,https://www.maschinensucher.de/abb-l-3996-l/i-28657492,https://cdn.machineseeker.com/img/listings/28657492/1.jpg,11.04.2025
Kutter Kilia 7339Plus,Kilia,7339Plus,2006,überholt,voll funktionsfähig,107.875,EUR,"Barcelona, Spanien",Spanien,,3873 kg,Spannung: 480V 50Hz; Leistung: 18.5 kW,Kutter Kilia 7339Plus - Kilia 7339Plus. Diese Maschine ist in überholtem Zustand und wurde regelmäßig gewartet. CE-Kennzeichnung vorhanden.,Weber Maschinenhandel,Yes,30235828,Fleischverarbeitungsmaschinen,https://www.maschinensucher.de/kilia-7339plus/i-30235828,https://cdn.machineseeker.com/img/listings/30235828/1.jpg,24.12.2025
Spiralkneter Wachtel XL4295A,Wachtel,XL4295A,1998,gut (gebraucht),eingeschränkt funktionsfähig,75.583,EUR,"Hannover, Deutschland",Deutschland,659 x 816 x 1883 mm,208 kg,Spannung: 480V 60Hz; Leistung: 4 kW,Wir bieten eine Spiralkneter Wachtel XL4295A der Marke Wachtel (Modell: XL4295A) an. Zustand: gut (gebraucht). Alle Funktionen geprüft.,Ost-Technik Vertrieb,Yes,30646873,Bäckereimaschinen,https://www.maschinensucher.de/wachtel-xl4295a/i-30646873,https://cdn.machineseeker.com/img/listings/30646873/1.jpg,09.12.2025
Druckfilter Multivac N2819Pro,Multivac,N2819Pro,,überholt,nicht geprüft,18.312,EUR,"Rotterdam, Niederlande",Niederlande,1745 x 1503 x 720 mm,20 kg,Spannung: 220V 50Hz,"Gebrauchte Druckfilter Multivac N2819Pro, Hersteller: Multivac, Typ: N2819Pro. Maschine wurde generalüberholt und ist betriebsbereit.",Bayerische Maschinenhandel,Yes,88713812,Filter (Lebensmitteltechnik),https://www.maschinensucher.de/multivac-n2819pro/i-88713812,https://cdn.machineseeker.com/img/listings/88713812/1.jpg,01.09.2026
Hochdruckreiniger Dinnissen S-4112XL,Dinnissen,S-4112XL,2003,gebraucht,voll funktionsfähig,66.319,EUR,"Antwerpen, Belgien",Belgien,1911 x 2693 x 3019 mm,181 kg,Spannung: 230V 60Hz; Leistung: 0.75 kW,Wir bieten eine Hochdruckreiniger Dinnissen S-4112XL der Marke Dinnissen (Modell: S-4112XL) an. Zustand: gebraucht. Alle Funktionen geprüft. Ersatzteile verfügbar.,MaschinenMarkt24,No,53199641,Reinigungstechnik,https://www.maschinensucher.de/dinnissen-s-4112xl/i-53199641,https://cdn.machineseeker.com/img/listings/53199641/1.jpg,23.02.2024
Entschwartungsmaschine Risco X-7814B,Risco,X-7814B,2003,gut (gebraucht),voll funktionsfähig,86.529,EUR,"Bielefeld, Deutschland",Deutschland,,,Spannung: 400V 50Hz; Leistung: 15 kW,Verkauf einer Entschwartungsmaschine Risco X-7814B vom Hersteller Risco. Das Modell X-7814B ist bekannt für seine Zuverlässigkeit. Zustand: gut (gebraucht).,Gebrauchte-Maschinen.de,No,36366100,Fleischverarbeitungsmaschinen,https://www.maschinensucher.de/risco-x-7814b/i-36366100,https://cdn.machineseeker.com/img/listings/36366100/1.jpg,20.06.2025
